Country,Partner Name,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,India,TII,0.881531905,0.899639745,0.880191731,0.78921541,0.576102276,0.653973569,0.717991252,0.761798363,0.756182728,0.765315653,0.766710572,1.734347455,0.876390052,0.845832329,0.775569557,0.73974957,0.703072666,0.766532124,0.724444608,0.743539134,0.78574269,0.798889883,0.967513274,1.038851771,1.117558023,1.099403768
United States,Iran,TII,0.000253953,0.000731126,2.05E-05,0.0353313,0.008011616,0.003242184,0.011848405,0.029862147,0.021582424,0.022171138,0.019484006,0.051240145,0.122684364,0.053753931,0.035228903,0.035633787,0.041235248,0.062269515,0.031402604,0.054192782,0.032119192,0.02160609,0.086576349,0.022315868,0.01564457,0.014455801
United States,Iraq,TII,0.077874845,0.80636202,0.614353916,0.044761718,0.021689736,0.058506657,0.041759052,0.541807475,0.745445179,1.217233198,1.246772746,2.849266644,1.216696353,0.763754944,0.564692112,0.768598123,0.527623265,0.460247796,0.446150608,0.456993968,0.329563882,0.275135685,0.284592937,0.262478916,0.18633013,0.1688215
United States,Israel,TII,1.900869432,1.814521228,2.114217679,2.110477454,1.474546663,1.632711047,1.764731533,1.833861583,2.129700544,2.131438891,2.257246823,4.860235665,2.33700371,2.060065723,1.955063058,2.062468998,2.056661244,2.008909029,2.058395543,1.927620825,1.789781009,1.708046024,1.789798995,1.867916118,1.549085299,1.527268728
United States,Japan,TII,2.018743972,1.890557073,1.993131539,1.77141224,1.698486852,1.637786424,1.643746197,1.629199352,1.538859458,1.412423158,1.404950216,2.466040209,1.397398971,1.40812098,1.327466954,1.235899977,1.232182852,1.216443932,1.208841749,1.26516265,1.345368,1.384595626,1.437096101,1.430874957,1.456572975,1.470320974
United States,South Korea,TII,1.910569993,1.784229285,1.859189823,1.920651676,1.771713161,1.636203621,1.673356767,1.719398787,1.615520989,1.541101494,1.548408632,2.709647614,1.283394094,1.28567179,1.326414828,1.287159893,1.188718762,1.182634505,1.17383763,1.211326056,1.240580121,1.274675011,1.414065842,1.478033798,1.484266764,1.525937992
United States,Myanmar,TII,0.09556052,0.051812655,0.101027377,0.030224795,0.054475064,0.042692086,0.039220927,0.026998968,0.043324014,0.021156663,0.027000918,0.047083942,0.022684702,0.014013184,0.013719762,0.052112089,0.053662711,0.099619332,0.051508704,0.117757374,0.105128897,0.110947664,0.127145139,0.156832599,0.170416698,0.12564659
United States,Pakistan,TII,1.177847598,1.20563888,0.82129556,0.518530785,0.456574685,0.551038686,0.657708075,0.705414482,1.042448041,0.630024771,0.87156326,1.7616358,0.768071206,0.701074627,0.710099544,0.703998269,0.51624932,0.541996877,0.430294713,0.474626195,0.496379478,0.587290377,0.603416445,0.610302977,0.790711088,0.662647816
United States,Qatar,TII,0.7118515,0.794286725,0.888962684,0.582595823,0.448043344,0.61622932,0.571414743,0.607255253,0.499354946,0.935582406,0.789408951,2.587762498,1.109394724,1.146445355,1.514649259,1.389228789,1.42429032,1.912655039,1.514192764,1.18054773,1.497992245,0.972028653,1.295648205,1.701311478,1.285103322,0.909229858
United States,Russia,TII,0.491133932,0.431010497,0.541975041,0.424245486,0.298497088,0.316873369,0.281104705,0.24379742,0.233865883,0.256338643,0.239843976,0.347431407,0.287761969,0.277924768,0.234142854,0.2513358,0.294570825,0.310288535,0.324093478,0.33042518,0.278725956,0.284958891,0.262221351,0.221007997,0.217025929,0.238921999
United States,Saudi Arabia,TII,1.979470459,1.833526986,2.188638173,2.042088582,1.318860923,1.238042074,1.041437168,0.96650697,1.106298172,1.211000439,1.177431616,2.71633933,1.274244543,1.272506206,1.186474006,1.219217689,1.235680895,1.245304734,1.156436556,1.162094166,1.356684475,1.252894748,1.065900296,1.044647172,0.93966484,0.883226622
United States,Turkiye,TII,0.661717114,0.661088351,0.683854563,0.737848936,0.434055679,0.52587829,0.475311313,0.355152746,0.313987908,0.351250565,0.41123349,0.675956182,0.565860694,0.507483025,0.584151174,0.66836712,0.561460058,0.511693643,0.491937466,0.43774735,0.439816329,0.406330721,0.449528595,0.470715882,0.501209066,0.492319094
United States,UAE,TII,0.828759509,0.734129807,0.617679862,0.736780396,0.449971132,0.484081607,0.64713446,0.555032181,0.551887673,0.830199677,1.078703752,0.854458064,0.926899175,0.858634053,0.748719199,0.859540153,1.082688582,0.976546121,0.910031721,0.954900518,0.975783861,0.9246145,0.969889481,1.000685724,0.951352552,0.856612726
United States,Viet Nam,TII,0.482852812,0.188211224,0.198036607,0.21048795,0.220203641,0.265931651,0.312149967,0.607744704,0.421003988,0.412702499,0.307248647,0.820829027,0.466646658,0.531272411,0.493714904,0.474177716,0.451877453,0.40593504,0.392717383,0.422722921,0.579798481,0.406370114,0.45229648,0.478307322,0.459941488,0.424885354
United States,United States,TII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia, World,TII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Russia,Afghanistan,TII,2.611891323,2.766638637,2.930869615,2.71573469,1.168120122,1.080844969,2.047530016,1.739396832,1.679653659,1.247506625,0.8492232,2.295455919,0.996535571,1.809573798,1.823831349,2.043126508,2.930785044,1.982676335,1.589602694,0.786889157,1.483264615,1.1617925,0.491761243,0.636888038,0.974633433,0.521687766
Russia,Bangladesh,TII,0.076196017,0.080791303,0.612425196,1.177450687,0.829858389,0.31604383,0.281277153,0.22738549,0.302605338,0.707432407,0.721182369,0.251934401,0.408516462,0.238697469,0.236424076,0.262575673,0.367698293,0.269698648,0.212901088,0.544482204,1.047821253,0.801982742,0.557978472,0.876004834,1.663396796,1.051687774
Russia,Belarus,TII,29.5509428,34.82156069,45.2053089,48.25192463,41.72675974,38.76316874,39.54927456,36.13437548,33.72444387,24.60259532,22.17981054,48.82919267,19.39516674,23.19270225,19.35575672,19.47374716,17.72591324,15.20283997,16.944161,23.56620687,29.58210843,27.71749043,25.48777936,24.96618109,24.97435503,24.60741578
Russia,China,TII,1.766403243,1.504121536,1.562509855,1.685664971,1.579128732,1.586835047,1.596380808,1.28067204,1.069978303,1.004609261,0.933473058,0.992378773,0.781049597,0.777506306,0.62459174,0.833697369,0.840508213,0.806391139,0.894050264,0.971130485,1.145394114,1.191046123,1.327032148,1.430563258,1.444197653,1.385608075
Russia,Egypt,TII,1.374949435,1.490563,1.534832173,1.960454583,1.209468252,1.272347982,1.492229092,0.967152311,1.357291494,1.338188815,1.26464841,2.542316215,0.982550238,1.243310863,0.940950525,1.122615154,1.415396487,1.17913615,1.751269357,1.894243477,2.573627889,3.668216,3.464357497,2.925652183,2.539191699,1.700114779
Russia,India,TII,1.480250004,1.79686426,1.367872065,2.382073078,1.288719807,1.423781535,1.831649835,2.269063788,1.389581159,0.83458595,0.764408905,0.986971897,0.682163993,1.068071455,0.701157191,0.459179949,0.708508501,0.734230912,0.479501989,0.688696306,1.016199752,0.904753524,0.825659199,0.85020591,1.003580814,0.890517083
Russia,Iran,TII,1.950415695,2.323433069,3.473669372,2.909380247,2.285906323,2.646746652,1.831678502,2.148502707,2.174728726,1.660075595,1.501471727,3.396249106,1.641653856,1.900748615,1.801829273,1.435259691,0.918687603,0.706577371,0.725968156,0.855145612,1.698134645,0.877750078,0.904321805,1.784916058,2.603625977,4.012256993
Russia,Iraq,TII,0.200600574,0.401243367,2.339996901,3.376642247,1.41508313,1.731569996,3.147156473,1.588376631,0.803787778,0.354271138,0.32571682,0.306908848,0.162906683,0.096913123,0.118970509,0.091258564,0.216081704,0.256685817,0.163260032,0.453098783,1.152498016,1.311271749,0.612292018,0.209242238,0.130329579,0.210892488
Russia,Israel,TII,1.253905458,1.016676592,1.408098511,1.450710806,1.508681791,1.507205633,1.786925831,2.097961196,1.497943736,1.256041432,1.098280984,1.863263599,0.911447719,0.78932975,0.937709559,0.55351208,0.691919093,0.91187714,1.017086596,0.956078076,0.956887016,0.92721743,0.941140654,0.709168778,0.860693217,0.736535828
Russia,Japan,TII,0.706914805,0.665061107,0.711115768,0.622374682,0.548458629,0.505035716,0.374267552,0.411341874,0.438754993,0.360544899,0.374610554,0.972835576,0.608041614,0.699701262,0.882829954,0.766355808,0.808137728,1.097654514,1.16714794,1.27648239,1.00694126,0.919809709,0.876577096,0.838643639,0.873016177,0.749187617
Russia,South Korea,TII,0.676379927,0.467916545,0.537775353,0.657219727,0.469313774,0.596744908,0.61205274,0.512636999,0.543482947,0.492085438,0.427687494,1.569248528,0.797536423,0.89421092,1.144673564,1.131411575,1.147615409,1.261969806,1.552878018,1.606767649,1.535274261,1.366742001,1.645342416,1.637423773,1.533161993,1.39585236
Russia,Myanmar,TII,0.279299436,0.010545357,0.009575066,0.002547347,0.089372226,0.909377564,2.208555761,0.227257642,0.385391035,0.009999449,0.080639545,0.258583343,0.189273362,0.31975832,0.286735416,0.824396673,0.314905628,0.160838185,0.070436282,0.222211243,0.742320566,0.385182336,0.48899833,0.466132313,0.481004743,0.591637883
Russia,Pakistan,TII,0.43795633,0.119686572,0.219443194,0.431811446,0.469612187,0.426077167,0.502027613,0.321520594,0.631312072,0.434807474,0.451164637,0.713356165,0.493807121,0.355019061,0.125423086,0.128154184,0.208550472,0.194179079,0.132476193,0.108935759,0.152814604,0.224364409,0.327221245,0.151559431,0.569651756,0.228534499
Russia,Qatar,TII,0.034741649,0.009215553,0.009747146,0.000169365,0.000180645,0.000292642,0.000949818,0.015568954,0.086334127,0.005952823,0.000209718,0.001690421,0.006240805,0.002231437,0.005320771,0.013287287,0.005062906,0.021171072,0.022911728,0.0167765,0.035863181,0.065315613,0.045681276,0.04661952,0.102097589,0.155392347
Russia,Russia,TII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,Saudi Arabia,TII,0.107571772,0.324092175,0.167585035,0.215345757,0.088796797,0.100427791,0.193718313,0.239013252,0.130481578,0.152411863,0.141404733,0.367576911,0.132176794,0.137536659,0.098805972,0.161388083,0.220491513,0.155071306,0.180544292,0.198145694,0.12755865,0.241181353,0.220468628,0.395214205,0.520524724,0.541189212
Russia,Turkiye,TII,2.714008322,2.915156071,3.549835051,3.577296155,2.741579951,4.027244152,3.330998329,3.192223696,3.11763933,3.352424173,3.53475143,4.536510988,4.164818781,4.107020953,2.490518559,1.966557512,2.133745423,1.917598784,2.027961217,2.354379792,3.111189127,3.228211461,3.443628996,3.819070723,3.384803609,3.894980313
Russia,UAE,TII,0.116158478,0.376265066,0.944159198,0.670061057,0.265973001,0.33225807,0.451482893,0.231292475,0.290554735,0.262060257,0.143347463,0.102091698,0.131592448,0.157938062,0.183089546,0.134555431,0.173191585,0.250156277,0.214191607,0.177014057,0.208469056,0.279709209,0.271967136,0.307794755,0.796074179,0.907609593
Russia,Viet Nam,TII,0.671360534,1.679391152,1.721371451,1.127208258,0.763010196,0.6868774,1.123293342,0.889214902,1.208966958,0.953642163,0.291601018,0.690183689,0.269883172,0.520184017,0.480687675,0.318121487,0.399600302,0.331236822,0.143616632,0.214736421,0.411864994,0.404337634,0.423695595,0.192218018,0.316719775,0.309386484
Russia,United States,TII,0.382776358,0.326565109,0.428219825,0.362463487,0.234206246,0.225394033,0.208029251,0.188206572,0.224737399,0.165528189,0.190478105,0.297398658,0.229555755,0.249598336,0.243953699,0.258056191,0.205217023,0.181084527,0.154575699,0.177241045,0.241766768,0.230256612,0.206643041,0.222669291,0.232769204,0.266212164
