Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,United States,Export,  All Products,Export (US$ Thousand),26705626.24,32740595.5,37983569.93,42004219.56,52156428.12,54355080.2,70050092.09,92626296.06,125148955.9,163180459,203801045.7,233168790,252843530.6,221295019.6,283780322.7,325010987.5,352438221,369063858.6,397099249.7,409979244.4,385677759.4,430328146.5,479278747.2,419322648.6,452492876.3,568174902.5
United States, World,Export,  All Products,Export (US$ Thousand),622784142.7,687532542,680434596.8,692783783.5,781830672.8,729080421.1,693068306.7,724736583.4,814844394.2,901041411.3,1037029245,1162538150,1299898877,1056712078,1278099187,1481682202,1544932014,1577587252,1619742864,1501845864,1450906273,1545809598,1665302937,1644276221,1430253623,1753136708
United States,Afghanistan,Export,  All Products,Export (US$ Thousand),16873.83,11484.192,7013.744,18027.547,8154.376,5824.142,80011.074,60758.887,150391.516,262153.213,417630.568,488783.023,481647.628,1511460.17,2151400.794,2921861.778,1521555.394,1409638.976,792389.357,478851.271,913874.351,942037.823,1226885.151,750615.209,670888.208,247405.234
United States,Bangladesh,Export,  All Products,Export (US$ Thousand),209643.554,259102.785,317711.878,275458.975,239117.836,306889.722,269061.189,225884.184,289302.576,319769.758,332555.16,456420.787,468066.422,434896.461,575698.015,1144148.134,508180.705,708816.08,1113364.427,942540.067,905730.601,1473824.735,2081455.11,2327031.041,1844186.696,2337368.79
United States,Belarus,Export,  All Products,Export (US$ Thousand),53025.78,40624.322,30366.62,26053.483,31125.203,34912.642,19070.983,84064.237,32565.395,34942.759,74489.611,101564.097,134466.124,137255.83,133148.863,156543.879,102025.447,95141.886,93385.923,59235.752,195011.717,72668.182,132487.744,125041.904,112283.785,216476.154
United States,China,Export,  All Products,Export (US$ Thousand),11977746.41,12804864.93,14257941.63,13117665.53,16184679.3,19181936.06,22127509.05,28367720.78,34427686.53,41190674.56,55224097.11,65237883.48,71456411.76,69575613.27,91910977.24,104121383,110516536,121721075.5,123675622.8,116071708.8,115594770.3,129797515.3,120147865.7,106626645.1,124648507.6,151065177.4
United States,Egypt,Export,  All Products,Export (US$ Thousand),3146111.84,3840028.49,3059792.81,3025392.815,3333939.572,3564351.987,2868427.277,2606749.104,3077754.682,3159259.288,4103782.069,5347083.236,6030833.422,5257585.558,6832542.194,6228228.507,5498319.529,5175345.787,6472584.576,4752983.685,3485903.685,3990352.83,5050861.159,5485805.241,4759077.431,5786374.21
United States,India,Export,  All Products,Export (US$ Thousand),3318091.122,3615603.2,3544678.96,3707363.671,3667127.918,3757044.836,4101054.638,4979693.12,6109357.025,7918597.178,10091103.61,17592454.56,18666534.23,16462437.1,19248886.97,21542181.27,22105715.15,21811337.21,21607498.61,21451879.92,21647174.4,25648233.73,33502786.82,34409574.57,27394259.97,40130034.96
United States,Iran,Export,  All Products,Export (US$ Thousand),344.721,1142.653,28.763,48096.855,16832.507,8084.009,31811.319,98922.677,85119.337,95773.068,84952.918,145609.612,683175.698,281814.642,211398.345,233183.16,251122.746,308142.294,186549.561,281512.074,172454.308,136000.618,425766.084,73141.766,36291.029,39364.903
United States,Iraq,Export,  All Products,Export (US$ Thousand),2794.457,81949.326,106455.956,9540.786,10448.409,46205.526,31607.458,309895.407,856451.848,1373978.345,1493812.516,1574544.305,2122954.379,1774843.524,1643064.073,2400364.843,2053842.278,2021733.722,2105746.032,1971478.767,1266311.141,1204776.577,1312297.296,1277907.302,771884.318,805818.027
United States,Israel,Export,  All Products,Export (US$ Thousand),6009014.382,5993807.386,6981809.551,7694307.046,7745857.452,7475308.157,7026627.91,6892044.304,9169038.571,9737274.281,10964389.68,13018845.81,14486465.8,9567806.711,11295013.67,13961616.1,14273472.73,13742185.48,15081784.52,13538661.48,13199390.73,12547614.3,13707064.35,14376607.47,10188028.94,12820355.76
United States,Japan,Export,  All Products,Export (US$ Thousand),67514643.24,65657898.47,57884417.2,57480836.95,64921645.31,57449648.01,51447934.38,52003765.36,53568570.37,54679310.63,59647551.3,62663665.28,66573421.9,51178320.34,60469045.59,65791776.72,69971994.97,65213790.41,66825973.37,62441249.7,63245045.91,67582504.04,75226085.62,74650662.38,64090703.43,74960699.15
United States,South Korea,Export,  All Products,Export (US$ Thousand),26582874.32,25066619.15,16538268.58,22949358.68,27829955.69,22180578.48,22575713.54,24072540.15,26186727.89,27571602.53,32455280.55,34702617.75,34806587.29,28639747.63,38820633.04,43461393.73,42282528.92,41686042.11,44470809.21,43444787.48,42260903.97,48350051.98,56504532.09,56894210.75,51212196.8,65769493.51
United States,Myanmar,Export,  All Products,Export (US$ Thousand),32129.921,20007.743,31818.435,8711.408,17144.202,11446.526,10140.644,6864.449,11699.649,5464.172,7541.563,8709.851,10755.671,6970.205,9650.957,48949.883,65765.942,145830.603,92856.414,227140.755,195649.901,211280.289,261209.106,344988.403,338438.915,215028.136
United States,Pakistan,Export,  All Products,Export (US$ Thousand),1277003.031,1233927.681,726246.099,426451.411,462247.374,541299.5,693399.497,842733.258,1680083.316,1251631.94,1989532.631,2035079.46,1993051.262,1624888.435,1901071.676,1988748.46,1530065.196,1645795.477,1512131.876,1837506.933,2107771.53,2808080.622,2848764.895,2621680.436,2926365.253,3546020.53
