Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,TII,TII Score
China,South Korea,Import,  All Products,Import (US$ Thousand),1997,14929631.03,TII,2.443505926
China,Myanmar,Import,  All Products,Import (US$ Thousand),1997,73408.33,TII,5.552970343
China,Pakistan,Import,  All Products,Import (US$ Thousand),1997,379106.925,TII,2.532903746
China,Qatar,Import,  All Products,Import (US$ Thousand),1997,118153.602,TII,0.12392141
China,Russia,Import,  All Products,Import (US$ Thousand),1997,4085680.099,TII,1.004632185
China,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1997,825870.973,TII,0.697124509
China,Turkiye,Import,  All Products,Import (US$ Thousand),1997,64519.439,TII,0.391156842
China,UAE,Import,  All Products,Import (US$ Thousand),1997,84469.623,TII,1.378903728
China,United States,Import,  All Products,Import (US$ Thousand),1997,16301508.75,TII,1.139164273
China,Viet Nam,Import,  All Products,Import (US$ Thousand),1997,357092.018,TII,2.751700843
China, World,Export,  All Products,Export (US$ Thousand),1997,182791584.8,TII,1
China,Afghanistan,Export,  All Products,Export (US$ Thousand),1997,32474.356,TII,2.23282312
China,Bangladesh,Export,  All Products,Export (US$ Thousand),1997,696110.472,TII,3.45953683
China,Belarus,Export,  All Products,Export (US$ Thousand),1997,16833.984,TII,0.060496246
China,Egypt,Export,  All Products,Export (US$ Thousand),1997,464945.874,TII,0.754866991
China,India,Export,  All Products,Export (US$ Thousand),1997,933720.409,TII,0.873859846
China,Iran,Export,  All Products,Export (US$ Thousand),1997,496445.973,TII,1.194777073
China,Iraq,Export,  All Products,Export (US$ Thousand),1997,58978.73,TII,2.182816135
China,Israel,Export,  All Products,Export (US$ Thousand),1997,259949.4,TII,0.295995529
China,Japan,Export,  All Products,Export (US$ Thousand),1997,31838563.47,TII,3.448207083
China,South Korea,Export,  All Products,Export (US$ Thousand),1997,9126860.979,TII,2.443505926
China,Myanmar,Export,  All Products,Export (US$ Thousand),1997,570099.346,TII,5.552970343
China,Pakistan,Export,  All Products,Export (US$ Thousand),1997,689213.995,TII,2.532903746
China,Qatar,Export,  All Products,Export (US$ Thousand),1997,14930.282,TII,0.12392141
China,Russia,Export,  All Products,Export (US$ Thousand),1997,2038035.122,TII,1.004632185
China,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1997,854249.024,TII,0.697124509
China,Turkiye,Export,  All Products,Export (US$ Thousand),1997,556780.433,TII,0.391156842
China,UAE,Export,  All Products,Export (US$ Thousand),1997,1301152.656,TII,1.378903728
China,United States,Export,  All Products,Export (US$ Thousand),1997,32740595.5,TII,1.139164273
China,Viet Nam,Export,  All Products,Export (US$ Thousand),1997,1079720.432,TII,2.751700843
United States, World,Export,  All Products,Export (US$ Thousand),1997,687532542,TII,1
United States,Afghanistan,Export,  All Products,Export (US$ Thousand),1997,11484.192,TII,0.209931282
United States,Bangladesh,Export,  All Products,Export (US$ Thousand),1997,259102.785,TII,0.342353531
United States,Belarus,Export,  All Products,Export (US$ Thousand),1997,40624.322,TII,0.038814195
United States,China,Export,  All Products,Export (US$ Thousand),1997,12804864.93,TII,0.614722448
United States,Egypt,Export,  All Products,Export (US$ Thousand),1997,3840028.49,TII,1.657545363
United States,India,Export,  All Products,Export (US$ Thousand),1997,3615603.2,TII,0.899639745
United States,Iran,Export,  All Products,Export (US$ Thousand),1997,1142.653,TII,0.000731126
United States,Iraq,Export,  All Products,Export (US$ Thousand),1997,81949.326,TII,0.80636202
United States,Israel,Export,  All Products,Export (US$ Thousand),1997,5993807.386,TII,1.814521228
United States,Japan,Export,  All Products,Export (US$ Thousand),1997,65657898.47,TII,1.890557073
United States,South Korea,Export,  All Products,Export (US$ Thousand),1997,25066619.15,TII,1.784229285
United States,Myanmar,Export,  All Products,Export (US$ Thousand),1997,20007.743,TII,0.051812655
United States,Pakistan,Export,  All Products,Export (US$ Thousand),1997,1233927.681,TII,1.20563888
United States,Qatar,Export,  All Products,Export (US$ Thousand),1997,359944.904,TII,0.794286725
United States,Russia,Export,  All Products,Export (US$ Thousand),1997,3288739.575,TII,0.431010497
United States,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1997,8450813.286,TII,1.833526986
United States,Turkiye,Export,  All Products,Export (US$ Thousand),1997,3539399.603,TII,0.661088351
United States,UAE,Export,  All Products,Export (US$ Thousand),1997,2605578.877,TII,0.734129807
United States,Viet Nam,Export,  All Products,Export (US$ Thousand),1997,277774.697,TII,0.188211224
United States, World,Import,  All Products,Import (US$ Thousand),1997,898025469.1,TII,1
United States,Afghanistan,Import,  All Products,Import (US$ Thousand),1997,11149.085,TII,0.209931282
United States,Bangladesh,Import,  All Products,Import (US$ Thousand),1997,1780511.093,TII,0.342353531
United States,Belarus,Import,  All Products,Import (US$ Thousand),1997,70082.063,TII,0.038814195
United States,China,Import,  All Products,Import (US$ Thousand),1997,65811603.65,TII,0.614722448
United States,Egypt,Import,  All Products,Import (US$ Thousand),1997,694858.128,TII,1.657545363
United States,India,Import,  All Products,Import (US$ Thousand),1997,7711805.594,TII,0.899639745
