Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,Europe & Central Asia,Import,  All Products,Import (US$ Thousand),15552838.42,23665898.99,24417050.8,26809747,26672684.33,24872433.06,25459030.88,32684478.26,40898340.4,48561377.2,53534584.26,72036801.55,92189181.51,100345134.2,119625434.3,147626128,177845996.9,170449115.3,234096075.3,310528150.4,314122957.2,355086664.6,360330859.3,310761464.7,302459056.3,345250049.7,399293337.6,401554264.7,396922568,502659888,521206341.8
China,Faeroe Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,4327.02,6880.686,8258.743,6684.386,13937.83,27130.486,49531.636,74570.617,105026.528,127348.79,103107.388,99802.578,125937.991,155942.11,66108.129,91489.159,114782.715
China,Fiji,Import,  All Products,Import (US$ Thousand),8977.055,69.524,36.202,11800.881,378.135,146.58,3999.022,894.791,292.594,247.402,1401.282,5354.838,6179.747,2272.387,1228.1,2571.423,921.217,578.874,949.741,1216.794,22161.198,59375.578,52880.797,21383.05,17180.927,17521.581,25307.141,14418.449,23539.373,55541.549,43363.943
China,Finland,Import,  All Products,Import (US$ Thousand),252280.128,322332.832,447584.416,621644.673,549519.79,687011.773,1259912.1,1831901.616,2353053.765,2376264.268,1512769.827,1788441.139,3021424.97,2628128.756,3125702.584,3794295.359,3533308.807,3272223.483,4019476.655,4542073.007,3833207.425,3905641.902,4051184.175,3484951.184,3455047.314,4259327.659,4781024.849,4655189.821,4196310.191,5329518.258,5279180.398
China,Fm Sudan,Import,  All Products,Import (US$ Thousand),9227.045,139.332,53129.7,74507.218,38482.815,23005.078,1467.063,53294.38,731728.392,938126.876,1157585.383,1441821.413,1705876.565,2614461.953,1943481.721,4171239.208,6325889.462,4684821.913,6671907.016,9541533.519,,,,,,,,,,,
China,France,Import,  All Products,Import (US$ Thousand),1495460.224,1640864.128,1938745.472,2648343.949,2239953.824,3246634.608,3205107.697,3785342.517,3951247.029,4106236.413,4255734.179,6102649.277,7654865.9,9016838.965,11288721.82,13351621.18,15644105.13,13031124.19,17116565.09,22078792.51,24124459.64,23119289.35,27074419.53,24631699.64,22511003.29,26805210.3,32212626.92,32591687.88,29712349.18,38733288.53,35579427.42
China,Free Zones,Import,  All Products,Import (US$ Thousand),178874,,1775436.672,2254995.702,,2923107.434,3020201.565,4139697.29,,,,,,,,,,,,,,,,,,,,,,,
China,French Guiana,Import,  All Products,Import (US$ Thousand),,241.419,358.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,French Polynesia,Import,  All Products,Import (US$ Thousand),971.054,1255.617,238.202,0.826,,,,1.559,152.091,56.837,1.067,164.898,859.453,1068.416,1696.431,1436.447,2977.547,2746.827,1098.8,5295.67,8037.883,4251.564,5726.056,2672.261,6654.172,5405.059,7035.062,6817.444,4154.185,4337.543,3446.344
China,Gabon,Import,  All Products,Import (US$ Thousand),48239.048,67812.128,86703.72,123254.83,184875.197,313134.077,147170.51,279117.286,337273.727,259354.401,231943.37,300603.34,400285.794,351678.008,816760.812,1095733.303,1792612.751,713886.11,969744.221,577975.724,618094.168,898643.501,1607934.704,1100194.341,1439078.974,2293610.995,2976658.825,4646658.917,3244067.014,2584785.035,3967189.856
