Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production,TII,TII Score
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,54672,United States,Japan,TOW,anti-tank missile,Missiles,1996,No,17,Yes,1996,Yes,New,0.01,0.01,0.17,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,8,No,2007,No,New,1.5,1.5,12,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2012,No,New,1.5,1.5,6,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2010,No,New,1.5,1.5,6,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2009,No,New,1.5,1.5,6,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2017,No,New,1.5,1.5,6,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2020,No,New,1.5,1.5,6,No,TII,2.018743972
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,34950,United States,Japan,aircraft engine 4501-6000,aircraft engine,Engines,1996,Yes,4,No,2022,No,New,1.5,1.5,6,No,TII,2.018743972
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,28128,United States,South Korea,AIM-7M,BVRAAM,Missiles,1996,Yes,40,No,1997,No,New,0.18,0.18,7.2,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24854,United States,South Korea,Edenton,support ship,Ships,1996,No,2,No,1997,No,Second hand,30,12,24,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24589,United States,South Korea,M-270 MLRS,self-propelled MRL,Artillery,1996,No,10,No,1998,No,New,1.2,1.2,12,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24589,United States,South Korea,M-270 MLRS,self-propelled MRL,Artillery,1996,No,19,No,1999,No,New,1.2,1.2,22.8,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24586,United States,South Korea,M-113,APC,Armoured vehicles,1996,No,14,Yes,1999,Yes,New,0.25,0.25,3.5,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,20837,United States,South Korea,Harpoon Block-1,anti-ship missile,Missiles,1996,No,33,Yes,1998,Yes,New,0.9,0.9,29.7,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24103,United States,South Korea,RH-800RA,reconnaissance aircraft,Aircraft,1996,No,4,No,2000,No,New,30,30,120,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24103,United States,South Korea,RH-800RA,reconnaissance aircraft,Aircraft,1996,No,4,Yes,2001,No,New,30,30,120,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24104,United States,South Korea,T-38,trainer aircraft,Aircraft,1996,No,30,No,1999,No,Second hand,3.3,1.32,39.6,No,TII,1.910569993
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,24585,United States,South Korea,M-88 AV,ARV,Armoured vehicles,1996,No,4,Yes,1998,Yes,New,1.5,1.5,6,No,TII,1.910569993
United States,Qatar,Export,  All Products,Export (US$ Thousand),1996,207080.267,37719,United States,Qatar,vehicle engine 201-300,vehicle engine,Engines,1996,No,12,Yes,1999,No,New,0.03,0.03,0.36,No,TII,0.7118515
United States,Qatar,Export,  All Products,Export (US$ Thousand),1996,207080.267,37719,United States,Qatar,vehicle engine 201-300,vehicle engine,Engines,1996,No,2,Yes,1997,No,New,0.03,0.03,0.06,No,TII,0.7118515
United States,Qatar,Export,  All Products,Export (US$ Thousand),1996,207080.267,37719,United States,Qatar,vehicle engine 201-300,vehicle engine,Engines,1996,No,26,Yes,1998,Yes,New,0.03,0.03,0.78,No,TII,0.7118515
United States,China,Import,  All Products,Import (US$ Thousand),1996,54396457.4,,United States,China,,,,1996,,,,,,,,,,,TII,0.63436396
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,28923,United States,Egypt,Mk-46-5,ASW torpedo,Missiles,1996,Yes,37,Yes,1996,Yes,New,0.35,0.35,12.95,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,28923,United States,Egypt,Mk-46-5,ASW torpedo,Missiles,1996,Yes,38,Yes,1997,Yes,New,0.35,0.35,13.3,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,28142,United States,Egypt,M-106,self-propelled mortar,Artillery,1996,Yes,15,Yes,1997,No,Second hand,0.5,0.2,3,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,27858,United States,Egypt,AIM-9M,SRAAM,Missiles,1996,No,157,Yes,1998,Yes,New,0.12,0.12,18.84,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,27858,United States,Egypt,AIM-9M,SRAAM,Missiles,1996,No,157,Yes,1999,Yes,New,0.12,0.12,18.84,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,25479,United States,Egypt,Commander-114B,light aircraft,Aircraft,1996,No,6,No,1996,No,New,0.25,0.25,1.5,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,1998,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,1999,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,2000,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
